movie_id,genre_id
201,5
201,6
202,4
202,18
202,3
203,0
203,1
203,10
203,23
204,0
204,2
204,18
204,10
205,0
205,1
205,13
206,8
206,5
206,6
207,0
207,16
208,0
208,16
209,0
209,16
209,18
210,6
210,3
211,0
211,5
211,6
212,0
212,14
213,0
213,25
214,0
214,14
215,0
215,6
215,3
216,0
216,18
216,3
217,0
217,1
217,18
218,0
218,6
218,3
219,0
219,9
219,10
220,0
220,7
220,1
221,4
221,8
221,11
222,8
222,5
222,6
223,0
223,6
223,13
224,0
224,8
224,5
225,0
225,4
225,13
225,11
226,0
227,12
227,19
227,11
228,0
228,8
229,0
229,1
229,13
229,22
230,7
230,12
230,13
230,11
231,0
231,7
232,7
232,20
233,0
233,7
234,5
234,6
234,20
235,0
235,1
235,2
236,0
236,5
236,6
236,3
237,0
238,0
238,7
238,1
238,13
239,4
239,8
239,11
240,0
240,4
240,11
241,0
241,1
242,0
242,1
242,3
243,0
243,5
243,20
244,0
244,18
244,26
245,0
246,0
246,1
246,14
247,0
247,14
248,0
249,0
249,7
249,1
249,13
250,0
250,4
250,8
250,6
251,0
251,5
251,6
251,3
252,0
252,1
252,17
253,0
253,1
253,2
254,0
254,18
254,9
254,10
255,8
255,6
255,20
256,0
256,8
256,5
256,6
257,0
257,6
257,3
257,25
258,0
258,7
258,1
259,0
259,14
260,12
260,6
260,13
261,0
262,0
262,7
262,1
263,0
263,7
264,0
264,23
264,11
265,0
265,7
265,1
266,7
266,12
266,13
267,0
267,7
268,5
268,6
268,25
269,7
269,4
269,11
270,0
270,1
271,8
271,6
271,20
272,7
272,13
272,21
272,22
273,0
273,3
274,0
274,14
275,1
276,0
276,7
276,1
277,0
277,1
278,0
279,0
279,1
280,0
280,12
280,18
281,4
281,5
281,6
281,3
282,0
282,4
282,1
282,18
283,8
283,6
283,15
284,0
284,26
285,0
285,1
285,12
286,0
286,4
286,23
286,11
287,7
288,0
288,1
288,10
289,0
289,13
290,1
290,13
290,21
290,22
291,0
291,1
291,6
291,17
292,0
292,4
293,0
293,1
293,2
293,18
294,0
294,1
294,12
295,0
296,0
296,8
296,5
297,0
297,6
297,3
298,4
298,8
299,0
300,0
300,7
301,0
301,1
302,0
302,1
302,18
302,11
303,0
303,3
304,0
304,6
305,0
305,1
306,19
306,13
306,11
307,7
307,4
